schema_variant,retriever,query_mode,keyword_profile,vector_profile,doc_profile,case_id,db_id,question,search_expressions,table_recall_at_5,column_recall_at_10,mrr_table,mrr_column,planner_latency_ms,query_embedding_ms,keyword_recall_ms,vector_recall_ms,merge_ms,rerank_ms,retrieval_only_ms,query_preprocess_ms,e2e_ms,vector_available,db_search_call_count,failure_class,failure_reason
keyword_raw,keyword,single,raw,none,raw,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",False,True,0.0,0.0,0.0,0.0,14.436,0.0,0.215,0.0,15.851,0.0,15.851,,1,retrieval_miss,missing expected tables in retrieval: singer
keyword_raw,keyword,single,raw,none,raw,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,0.0,11.889,0.0,0.072,0.0,12.016,0.0,12.016,,1,none,
keyword_raw,keyword,single,raw,none,raw,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,0.0,7.976,0.0,0.029,0.0,8.059,0.0,8.059,,1,none,
keyword_raw,keyword,single,raw,none,raw,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,0.5,0.0,0.0,0.0,9.7,0.0,0.042,0.0,9.763,0.0,9.763,,1,none,
keyword_raw,keyword,single,raw,none,raw,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,0.0,9.348,0.0,0.041,0.0,9.434,0.0,9.434,,1,none,
keyword_raw,keyword,single,raw,none,raw,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,0.0,5.641,0.0,0.103,0.0,5.748,0.0,5.748,,1,none,
keyword_raw,keyword,multi,raw,none,raw,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer count"", ""singers"", ""singer"", ""num_singers""]",True,True,1.0,0.0,881.51,0.0,14.169,0.0,0.175,0.0,14.379,881.51,895.889,,4,none,
keyword_raw,keyword,multi,raw,none,raw,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.3333,855.567,0.0,11.567,0.0,0.152,0.0,11.798,855.567,867.365,,4,none,
keyword_raw,keyword,multi,raw,none,raw,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,749.977,0.0,9.131,0.0,0.147,0.0,9.398,749.977,759.375,,4,none,
keyword_raw,keyword,multi,raw,none,raw,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer"", ""total count"", ""number of singers"", ""singer count""]",True,True,1.0,0.0,818.483,0.0,6.937,0.0,0.12,0.0,7.066,818.483,825.549,,4,none,
keyword_raw,keyword,multi,raw,none,raw,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,0.5,830.959,0.0,8.048,0.0,0.136,0.0,8.179,830.959,839.138,,4,none,
