schema_variant,retriever,query_mode,case_id,db_id,question,search_expressions,table_recall_at_5,column_recall_at_10,mrr_table,mrr_column,planner_latency_ms,query_embedding_ms,keyword_recall_ms,vector_recall_ms,merge_ms,rerank_ms,retrieval_only_ms,query_preprocess_ms,e2e_ms,vector_available,db_search_call_count,failure_class,failure_reason
base,keyword,single,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",False,True,0.0,0.0,0.0,0.0,18.926,0.0,0.044,0.0,20.32,0.0,20.32,,1,retrieval_miss,missing expected tables in retrieval: singer
base,keyword,single,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,0.0,13.384,0.0,0.058,0.0,13.504,0.0,13.504,,1,none,
base,keyword,single,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,0.0,7.314,0.0,0.033,0.0,7.399,0.0,7.399,,1,none,
base,keyword,single,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,0.5,0.0,0.0,0.0,12.583,0.0,0.034,0.0,12.748,0.0,12.748,,1,none,
base,keyword,single,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,0.0,9.715,0.0,0.056,0.0,9.791,0.0,9.791,,1,none,
base,keyword,single,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,0.0,6.072,0.0,0.071,0.0,6.159,0.0,6.159,,1,none,
base,keyword,single,spider_concert_singer_007,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","[""Show name, country, age for all singers ordered by age from the oldest to the youngest.""]",True,True,1.0,1.0,0.0,0.0,21.05,0.0,0.152,0.0,21.176,0.0,21.176,,1,none,
base,keyword,single,spider_pets_1_008,pets_1,Find the weight of the youngest dog.,"[""Find the weight of the youngest dog.""]",True,False,1.0,1.0,0.0,0.0,5.637,0.0,0.028,0.0,5.746,0.0,5.746,,1,retrieval_miss,task not solved
base,keyword,single,spider_car_1_009,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","[""How many countries does each continent have? List the continent id, continent name and the number of countries.""]",True,False,1.0,0.3333,0.0,0.0,18.293,0.0,0.083,0.0,18.413,0.0,18.413,,1,retrieval_miss,task not solved
base,keyword,single,spider_concert_singer_010,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","[""What are the names, countries, and ages for every singer in descending order of age?""]",True,False,1.0,0.3333,0.0,0.0,11.656,0.0,0.124,0.0,11.837,0.0,11.837,,1,retrieval_miss,task not solved
base,keyword,single,spider_pets_1_011,pets_1,How much does the youngest dog weigh?,"[""How much does the youngest dog weigh?""]",True,False,1.0,1.0,0.0,0.0,5.169,0.0,0.03,0.0,5.304,0.0,5.304,,1,retrieval_miss,task not solved
base,keyword,single,spider_car_1_012,car_1,"For each continent, list its id, name, and how many countries it has?","[""For each continent, list its id, name, and how many countries it has?""]",True,False,1.0,0.3333,0.0,0.0,18.429,0.0,0.136,0.0,18.542,0.0,18.542,,1,retrieval_miss,task not solved
base,keyword,multi,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer"", ""singers count"", ""number of singers"", ""singer table""]",True,True,1.0,0.0,21832.129,0.0,22.917,0.0,0.276,0.0,23.152,21832.129,21855.281,,4,none,
base,keyword,multi,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.3333,911.922,0.0,13.689,0.0,0.228,0.0,13.987,911.922,925.909,,4,none,
